year,month,sales,date,month_number,previous_month_sales,actual_sales,predicted_sales
2017,3,58872.3528,2017-03-01,39,20301.1334,58872.3528,50866.395
2017,4,36521.5361,2017-04-01,40,58872.3528,36521.5361,35718.164
2017,5,44261.1102,2017-05-01,41,36521.5361,44261.1102,46709.453
2017,6,52981.7257,2017-06-01,42,44261.1102,52981.7257,35718.164
2017,7,45264.416,2017-07-01,43,52981.7257,45264.416,35718.164
2017,8,63120.888,2017-08-01,44,45264.416,63120.888,35576.01
2017,9,87866.652,2017-09-01,45,63120.888,87866.652,66046.58
2017,10,77776.9232,2017-10-01,46,87866.652,77776.9232,45914.645
2017,11,118447.825,2017-11-01,47,77776.9232,118447.825,86643.68
2017,12,83829.3188,2017-12-01,48,118447.825,83829.3188,62223.637
